EmployeeID,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,OverTime,DistanceFromHome,TrainingTimesLastYear,PerformanceRating,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,EngagementScore,PromotionLast5Years,Attrition
27,46,Female,Marketing,Consultant,5,7628,3,1,Yes,11,4,1,2,1,2,0.12,1,1
28,47,Male,Finance,Analyst,2,2441,4,5,Yes,32,4,3,3,4,1,0.01,0,0
29,35,Female,IT,HR Specialist,3,11629,5,9,Yes,29,9,2,4,3,1,0.18,0,1
30,34,Female,Marketing,Analyst,3,13379,14,5,No,30,3,3,2,2,3,0.96,0,0
31,22,Female,HR,Analyst,4,4367,5,0,No,29,2,3,2,1,3,0.75,1,0
32,56,Male,HR,HR Specialist,4,6865,18,4,No,22,5,1,3,1,2,0.52,0,0
33,26,Female,R&D,Sales Executive,4,11074,19,9,Yes,11,1,4,3,4,1,0.94,0,0
34,40,Female,Marketing,Technician,4,9159,7,1,No,20,8,3,1,1,2,0.42,0,1
35,28,Female,Finance,Engineer,2,2450,12,0,Yes,14,5,3,2,2,1,0.04,0,0
36,58,Male,HR,Technician,4,9039,3,8,No,27,4,2,3,1,3,0.59,0,0
37,37,Female,R&D,Consultant,3,7198,16,5,Yes,38,2,3,2,4,2,0.83,0,0
38,23,Female,Marketing,HR Specialist,3,10934,13,0,Yes,4,3,3,1,4,3,0.29,1,1
39,44,Female,R&D,Sales Executive,5,9286,17,9,Yes,7,5,3,3,3,2,0.32,1,1
40,33,Male,Finance,Analyst,3,11736,14,8,No,30,2,3,4,2,4,0.67,0,0
41,28,Female,HR,Manager,3,5350,18,8,No,10,9,3,1,2,4,0.8,1,1
42,45,Female,HR,Engineer,2,4829,10,6,Yes,7,6,4,2,1,2,0.43,0,1
43,21,Male,HR,Technician,3,4613,6,8,Yes,5,4,3,4,2,3,0.09,1,0
44,39,Male,Sales,Sales Executive,1,3915,0,0,Yes,4,9,2,4,1,4,0.75,0,0
45,47,Female,HR,Consultant,3,9212,2,2,Yes,36,0,2,1,1,3,0.43,1,1
46,26,Female,IT,Engineer,5,11440,18,7,Yes,15,8,3,1,1,2,0.91,0,0
47,27,Female,Sales,Consultant,5,2527,0,2,Yes,39,8,2,1,4,1,0.25,0,1
48,54,Male,Marketing,Manager,4,6819,3,7,No,38,0,2,1,2,2,0.46,0,1
49,33,Male,Sales,Manager,2,9879,10,2,No,36,3,1,2,1,4,0.71,0,0
50,36,Female,Sales,Manager,5,10432,6,3,Yes,2,3,2,1,3,3,0.25,1,0
51,55,Male,Sales,Technician,1,12334,6,3,No,15,9,3,4,1,3,0.23,0,0
52,59,Female,R&D,Consultant,1,10556,13,4,No,20,7,2,4,1,2,0.73,0,0
53,23,Female,IT,HR Specialist,4,3208,14,9,No,34,1,3,1,2,3,0.18,1,1
54,21,Male,Finance,Engineer,2,6120,4,9,No,13,6,3,1,1,2,0.12,0,1
55,25,Female,HR,HR Specialist,2,12557,13,3,No,25,7,2,1,2,2,0.26,0,1
56,23,Male,Sales,Consultant,3,8476,12,6,No,14,2,4,1,4,3,0.82,0,0
57,48,Male,Finance,Manager,1,4961,19,3,No,9,9,2,4,2,2,0.86,0,1
58,37,Female,R&D,Sales Executive,1,14849,17,0,Yes,35,2,2,1,2,4,0.1,1,1
59,45,Male,Finance,Manager,1,6776,0,4,No,22,8,3,2,3,3,0.11,1,1
60,53,Female,Sales,HR Specialist,1,12339,12,7,Yes,5,7,3,1,3,2,0.84,1,0
61,29,Male,Marketing,Manager,5,4417,19,5,No,37,0,4,2,3,4,0.95,1,0
62,55,Female,IT,Consultant,2,3616,6,3,No,14,1,1,1,3,1,0.48,1,0
63,33,Female,Finance,Manager,3,11227,5,3,Yes,17,3,2,2,2,2,0.85,0,1
64,50,Female,Sales,HR Specialist,5,10911,8,0,Yes,5,5,4,3,3,3,0.89,0,0
65,34,Male,Sales,HR Specialist,2,6682,9,9,No,13,2,3,2,2,1,0.36,1,1
66,27,Female,HR,Consultant,4,11165,2,0,No,31,3,1,4,3,4,0.5,1,1
67,33,Male,Marketing,Sales Executive,1,8825,6,2,Yes,10,3,3,3,4,3,0.57,0,1
68,42,Male,HR,HR Specialist,3,3846,10,3,No,23,9,2,3,3,1,0.77,0,0
69,59,Male,Marketing,Consultant,2,3371,11,3,No,29,6,4,2,3,2,0.46,1,0
70,40,Male,IT,Sales Executive,4,3466,11,1,No,16,6,4,3,1,1,0.51,1,0
71,35,Male,HR,Analyst,1,10882,12,8,Yes,17,6,4,3,1,3,0.07,1,0
72,37,Female,IT,Consultant,4,2087,7,7,No,7,3,1,4,1,2,0.05,0,0
73,43,Male,R&D,Analyst,4,4512,3,2,No,14,4,4,4,2,4,0.74,0,0
74,45,Female,R&D,HR Specialist,5,14040,19,1,Yes,9,3,3,4,3,4,0.48,0,1
75,44,Female,Marketing,Manager,4,10685,0,0,No,7,8,3,3,4,1,0.09,1,1
76,48,Male,Marketing,Engineer,5,3245,5,9,No,14,3,3,1,1,4,0.24,0,1
77,34,Female,HR,Manager,5,8116,1,8,No,16,0,3,4,2,4,0.68,1,1
78,20,Female,R&D,HR Specialist,4,11333,13,4,No,10,7,2,1,4,1,0.5,0,0
79,44,Male,Finance,Sales Executive,2,6231,17,7,No,5,5,3,4,1,2,0.79,0,0
80,26,Female,Finance,Consultant,4,2977,9,3,Yes,7,1,2,2,4,3,0.39,0,0
81,28,Male,Finance,Manager,4,12426,0,1,Yes,22,0,4,2,2,2,0.12,0,1
82,43,Male,R&D,Analyst,2,10733,2,4,Yes,24,9,3,1,2,2,0.27,1,0
83,20,Male,Finance,Technician,1,8722,19,7,Yes,22,6,4,4,4,3,0.11,1,1
84,27,Female,IT,HR Specialist,3,11594,3,5,No,35,7,3,2,1,1,0.48,1,0
85,43,Female,Sales,Manager,1,11002,17,7,No,3,9,2,4,2,1,0.47,0,1
86,30,Female,Marketing,Technician,4,6507,7,2,No,7,8,4,2,4,2,0.07,0,1
87,36,Female,HR,Manager,1,5492,8,4,No,19,3,3,4,1,3,0.19,1,0
88,27,Male,IT,Sales Executive,3,14504,18,1,No,8,6,2,4,3,1,0.97,0,0
89,54,Male,Finance,Sales Executive,1,6925,1,2,Yes,23,4,4,1,3,1,0.98,0,0
90,54,Female,Sales,Sales Executive,3,3133,8,6,No,20,1,4,1,4,2,0.34,0,1
91,52,Male,HR,Technician,1,14572,2,0,No,33,2,3,4,2,2,0.14,0,0
92,24,Female,IT,Engineer,5,6865,1,7,No,6,7,4,1,4,1,0.19,1,0
93,58,Male,HR,Technician,4,9769,6,4,Yes,15,9,3,1,1,3,0.08,0,0
94,47,Male,Marketing,HR Specialist,3,10760,16,1,No,5,4,3,3,3,3,0.09,0,1
95,26,Male,R&D,HR Specialist,4,5000,16,2,Yes,14,2,4,1,2,2,0.19,1,0
96,28,Male,Finance,Analyst,5,11513,8,3,Yes,9,7,1,1,3,3,0.47,0,1
97,27,Male,IT,Analyst,1,9666,0,1,No,26,6,3,1,1,3,0.71,0,0
98,31,Female,IT,HR Specialist,4,8704,0,9,No,32,6,3,1,4,2,0.16,0,0
99,53,Female,Sales,Manager,1,12936,7,4,Yes,31,6,3,1,2,1,0.42,0,1
100,52,Male,Sales,HR Specialist,1,14817,16,6,Yes,6,4,3,3,4,1,0.09,0,1
101,42,Female,Sales,Consultant,4,9365,7,8,No,1,3,3,4,2,2,0.62,0,0
102,43,Male,HR,Engineer,3,13770,18,0,No,19,5,4,1,4,3,0.43,0,1
103,56,Male,Finance,Analyst,3,8632,3,9,Yes,15,5,4,3,4,2,0.8,0,1
104,54,Male,HR,Analyst,4,3767,17,5,Yes,34,5,3,3,2,1,0.88,0,1
105,59,Male,Finance,Consultant,3,4074,12,5,No,19,7,3,4,4,2,0.24,1,0
106,41,Female,IT,Consultant,2,12235,6,0,No,11,5,3,3,2,2,0.4,0,1
107,46,Male,HR,Technician,1,3141,2,1,Yes,18,9,4,4,2,1,0.5,1,1
108,54,Female,HR,Consultant,4,3077,13,7,Yes,24,3,2,4,3,4,1.0,1,1
109,20,Male,HR,Analyst,5,6599,8,5,Yes,9,9,4,2,2,4,0.92,1,0
110,54,Male,R&D,HR Specialist,4,8120,2,0,Yes,11,9,3,4,4,2,0.97,1,0
111,56,Female,Marketing,Analyst,4,10343,6,9,No,4,3,3,4,4,2,0.46,1,0
112,33,Male,Finance,Consultant,1,6832,14,9,No,18,4,4,4,3,1,1.0,0,0
113,22,Male,Finance,Consultant,5,10670,3,5,No,23,6,3,4,3,3,0.03,0,0
114,20,Female,HR,Consultant,1,13425,4,9,Yes,37,0,1,3,2,2,0.97,0,1
115,24,Female,R&D,Analyst,3,3685,8,6,No,1,0,3,1,4,3,0.19,0,0
116,45,Female,HR,Consultant,4,5491,2,1,No,25,4,2,1,2,3,0.98,1,0
117,33,Male,Finance,Technician,1,3371,15,3,Yes,9,4,3,2,1,3,0.45,0,0
118,58,Male,Marketing,HR Specialist,2,7459,15,6,Yes,39,0,1,1,4,3,0.58,1,0
119,46,Female,Marketing,Manager,4,14092,18,5,Yes,1,6,3,3,1,2,0.91,1,0
120,28,Female,IT,Consultant,3,12793,8,7,Yes,17,6,2,3,4,1,0.98,0,0
121,34,Male,R&D,Analyst,1,5423,19,5,Yes,3,3,1,3,1,2,0.17,1,0
122,34,Male,Marketing,Analyst,1,11888,0,1,No,23,1,1,4,3,4,0.61,0,1
123,45,Female,R&D,Consultant,2,13849,16,0,Yes,1,1,4,3,1,3,0.69,1,1
124,32,Female,HR,Analyst,3,5976,11,4,No,24,3,2,2,4,3,0.71,0,0
125,51,Female,IT,Consultant,2,3398,8,9,No,13,1,3,3,3,2,0.21,0,1
126,58,Female,Finance,Engineer,4,14172,4,9,Yes,20,0,3,4,4,3,0.07,0,0
127,51,Male,Marketing,HR Specialist,5,7361,14,8,No,20,0,3,1,3,4,0.38,0,1
128,23,Male,Marketing,Consultant,1,3401,12,1,Yes,12,7,3,4,4,3,0.81,0,0
129,49,Male,Sales,Analyst,2,11900,18,6,No,17,1,3,4,3,2,0.97,0,0
130,56,Male,Finance,Engineer,1,3412,2,8,No,21,8,4,1,4,2,0.44,1,1
131,42,Female,Marketing,Manager,1,8430,1,3,No,24,1,3,3,2,1,0.91,0,0
132,58,Male,Marketing,Manager,2,5230,12,3,Yes,30,3,3,2,3,3,0.72,0,0
133,34,Female,Finance,Technician,1,9521,6,9,No,23,6,3,2,4,4,0.12,0,0
134,48,Male,IT,Consultant,3,7849,8,4,No,23,6,3,3,1,3,0.35,0,0
135,55,Male,R&D,Technician,3,12694,9,5,No,17,9,3,3,1,2,0.74,0,0
136,32,Male,Finance,Technician,5,8056,0,6,No,2,7,2,3,1,4,0.45,0,0
137,51,Female,R&D,Engineer,3,6722,15,8,No,24,2,2,1,1,4,0.66,0,1
138,26,Male,IT,Manager,2,10109,10,5,Yes,33,0,2,1,3,2,0.76,1,0
139,41,Female,IT,Technician,3,3264,7,2,Yes,15,3,4,2,4,4,0.98,0,1
140,47,Female,HR,Sales Executive,5,4259,12,1,No,32,2,3,4,1,3,0.92,0,0
141,21,Male,Sales,Technician,4,2362,15,5,No,34,3,3,1,3,4,0.34,0,0
142,25,Female,IT,Manager,4,12837,2,8,No,22,5,3,2,2,2,0.8,1,1
143,47,Male,IT,Sales Executive,2,8276,12,2,No,31,0,3,2,1,4,0.37,0,0
144,47,Female,R&D,Engineer,5,11724,16,3,No,15,0,2,2,3,2,0.65,0,1
145,39,Male,IT,Consultant,3,8420,5,2,Yes,20,1,3,1,3,2,0.06,1,0
146,49,Female,Finance,Consultant,5,7384,9,6,No,23,9,4,1,4,3,0.78,1,0
147,30,Female,HR,Sales Executive,1,8748,8,3,Yes,31,9,3,2,3,4,0.99,0,1
148,47,Male,HR,Manager,5,14944,17,5,Yes,2,2,3,4,1,3,0.54,0,1
149,44,Male,Finance,Analyst,3,11575,16,5,Yes,13,4,3,2,1,1,0.93,0,1
150,58,Male,Marketing,Sales Executive,2,9831,6,8,No,32,8,2,4,1,1,0.87,1,0
151,52,Male,IT,Manager,1,2666,1,4,Yes,16,5,3,3,3,1,0.01,0,0
152,20,Female,Sales,Technician,5,4812,10,6,No,15,4,3,2,3,1,0.09,0,0
153,46,Female,IT,Analyst,4,4475,17,0,Yes,25,7,2,2,2,3,0.44,0,0
154,32,Female,HR,Engineer,3,8973,2,7,No,12,0,3,3,3,2,0.26,0,0
155,22,Female,Sales,Consultant,2,5100,13,1,Yes,28,6,4,2,3,3,0.4,0,0
156,58,Male,Marketing,Engineer,3,5401,19,3,Yes,12,7,4,1,2,4,0.51,0,0
157,25,Female,R&D,HR Specialist,5,7015,12,9,No,21,8,3,1,1,3,0.48,0,0
158,27,Male,R&D,Engineer,2,13297,16,6,No,12,8,3,2,3,3,0.16,0,1
159,46,Female,IT,HR Specialist,4,4551,10,5,Yes,16,7,3,3,2,1,0.15,0,0
160,28,Male,IT,Engineer,1,14091,6,3,No,10,9,3,3,4,4,0.41,0,0
161,56,Male,Sales,Engineer,5,4151,2,7,Yes,10,2,2,1,3,2,0.69,0,0
162,52,Male,Sales,Engineer,2,8637,2,6,Yes,2,5,2,1,2,2,0.59,0,1
163,43,Male,Marketing,HR Specialist,1,2387,1,5,No,27,4,3,3,4,3,0.09,0,0
164,34,Male,IT,Technician,2,7864,15,4,No,30,2,3,4,4,1,0.28,0,0
165,51,Female,HR,HR Specialist,5,5161,10,4,No,33,1,3,4,1,3,0.41,0,0
166,51,Male,R&D,Sales Executive,2,4380,13,6,No,16,1,3,2,4,2,0.33,1,0
167,43,Female,Marketing,Manager,4,10568,2,5,Yes,10,9,3,2,3,2,0.45,1,0
168,31,Female,Sales,Manager,2,6335,6,3,Yes,15,9,3,4,4,4,0.44,1,0
169,58,Male,HR,Technician,5,14469,7,6,Yes,26,9,2,4,2,4,0.83,1,1
170,21,Female,IT,Manager,2,3280,12,4,No,15,3,3,2,1,3,0.83,1,1
171,22,Female,Finance,Engineer,1,2743,18,6,Yes,6,8,2,2,2,4,0.94,0,1
172,56,Female,Sales,Technician,1,9356,10,6,No,17,1,1,4,4,4,0.52,1,1
173,36,Male,Marketing,Manager,3,5486,0,1,Yes,1,4,1,3,2,2,0.28,0,0
174,21,Male,Finance,HR Specialist,3,10023,18,3,No,23,7,1,3,3,1,0.69,0,0
175,21,Male,HR,Sales Executive,4,3068,12,9,Yes,34,9,3,3,1,2,0.76,0,0
176,47,Male,R&D,Analyst,1,11200,16,3,No,35,1,4,2,4,3,0.35,0,1
177,42,Female,HR,Sales Executive,3,8971,8,6,No,25,6,1,2,3,2,0.82,0,1
178,56,Female,R&D,Manager,2,14885,18,7,Yes,1,5,3,4,4,3,0.69,0,1
179,51,Female,HR,Technician,4,14488,18,0,No,25,0,3,4,1,3,0.97,0,0
180,52,Female,Sales,Consultant,5,9526,5,6,No,38,6,4,1,3,1,0.35,1,1
181,20,Female,Sales,Manager,3,10534,6,5,Yes,16,9,4,3,4,3,0.92,0,0
182,38,Female,Marketing,HR Specialist,3,13475,4,9,Yes,12,8,4,3,1,3,0.35,0,1
183,21,Male,Finance,Sales Executive,1,2630,7,0,No,10,0,3,2,2,4,0.87,0,0
184,45,Female,HR,Consultant,4,2297,13,7,Yes,27,1,1,2,1,2,0.33,0,1
185,51,Female,HR,HR Specialist,1,10148,17,4,Yes,39,6,3,2,4,4,0.91,0,0
186,25,Female,Finance,HR Specialist,1,10889,19,6,No,7,0,3,2,4,2,0.02,0,0
187,51,Male,IT,Analyst,4,7316,2,7,Yes,6,1,1,3,2,4,0.41,0,0
188,23,Female,Marketing,HR Specialist,2,3505,7,6,Yes,11,2,3,4,2,4,0.05,1,0
189,30,Female,HR,Consultant,3,12952,13,9,Yes,24,1,1,2,3,4,0.41,0,1
190,36,Male,Marketing,HR Specialist,1,4825,13,0,Yes,25,1,3,1,4,4,0.42,0,0
191,57,Female,HR,Analyst,3,10570,6,5,No,37,1,2,2,1,4,0.91,0,0
192,43,Male,HR,Engineer,4,12987,5,0,Yes,3,6,3,1,3,4,0.8,0,0
193,24,Male,IT,Consultant,2,10897,5,3,No,4,9,3,4,1,4,0.27,1,1
194,53,Female,Sales,Engineer,5,4414,11,3,Yes,4,3,2,1,1,4,0.84,0,0
195,25,Female,Marketing,Consultant,2,7656,14,7,Yes,1,3,4,4,4,2,0.18,1,1
196,41,Male,Finance,Technician,4,10962,18,5,No,30,7,3,2,3,4,0.69,1,0
197,30,Female,Marketing,Analyst,2,14193,3,6,Yes,15,4,3,2,4,1,0.28,0,1
198,35,Female,IT,Technician,5,11286,2,9,Yes,31,0,2,1,1,4,0.97,0,0
199,52,Male,R&D,Technician,1,7147,12,6,No,37,1,2,4,4,1,0.93,0,1
200,28,Male,R&D,HR Specialist,2,13656,15,6,Yes,5,9,4,2,3,2,0.3,0,1
201,25,Female,IT,Technician,4,13786,12,9,Yes,21,2,3,1,2,4,0.03,1,1
202,35,Male,IT,Manager,2,6444,9,1,No,35,3,2,1,2,1,0.65,1,0
203,48,Female,Sales,Consultant,5,9547,12,5,Yes,4,8,4,4,1,2,0.16,0,0
204,22,Female,Marketing,Sales Executive,4,11423,7,7,Yes,7,9,3,2,3,4,0.12,0,1
205,39,Female,Marketing,Manager,2,3446,11,7,Yes,29,9,3,4,1,1,0.91,1,1
206,55,Female,R&D,Manager,4,14380,7,3,No,36,4,2,1,2,3,0.56,0,0
207,38,Male,Finance,HR Specialist,5,4402,8,6,Yes,35,5,4,1,1,4,0.93,0,1
208,45,Female,Marketing,Sales Executive,1,7642,9,8,No,32,2,3,1,2,2,0.26,0,1
209,22,Male,HR,Technician,5,3826,6,7,No,11,1,3,4,4,2,0.33,0,0
210,38,Female,HR,Sales Executive,1,9918,2,1,No,33,1,1,4,4,4,0.94,0,0
211,39,Female,Sales,Technician,3,5847,4,7,No,17,5,3,3,4,1,0.45,0,0
212,51,Male,Sales,Engineer,5,3092,2,2,No,12,5,3,2,2,1,0.23,1,0
213,26,Female,R&D,Analyst,1,6677,17,3,Yes,1,6,4,2,4,4,0.42,0,0
214,52,Male,Finance,HR Specialist,3,3720,18,2,No,23,8,2,3,4,3,0.35,0,0
215,59,Male,Finance,Technician,3,2882,9,7,No,7,2,3,1,2,1,0.79,0,0
216,58,Female,IT,Technician,3,2123,8,3,Yes,14,6,2,3,3,2,0.41,0,0
217,37,Female,Sales,Sales Executive,4,5490,6,0,Yes,7,6,3,4,3,4,0.08,0,1
218,59,Female,Marketing,HR Specialist,5,13786,0,8,No,14,7,1,1,2,3,0.61,0,0
219,20,Female,HR,Consultant,5,7797,9,8,No,34,4,4,2,4,2,0.89,0,1
220,30,Male,Marketing,Technician,5,2602,1,0,No,2,2,3,2,2,1,0.91,0,0
221,47,Female,HR,Engineer,5,5831,5,7,Yes,20,1,3,2,2,2,0.48,1,1
222,44,Female,R&D,Manager,4,7460,5,1,Yes,17,3,3,4,2,4,0.01,1,1
223,42,Female,HR,Technician,5,10496,7,6,No,10,7,3,1,3,3,0.6,0,0
224,50,Female,Marketing,Sales Executive,1,8946,17,0,No,5,4,3,3,3,4,0.47,0,0
225,49,Female,Marketing,Consultant,3,5228,6,5,Yes,33,0,3,4,3,2,0.94,0,0
226,54,Male,Finance,Engineer,4,13351,17,9,No,37,2,3,4,4,4,0.89,0,1
227,26,Female,Finance,HR Specialist,4,11443,0,9,Yes,36,4,2,3,3,1,0.9,0,0
228,35,Male,Sales,Technician,5,11128,13,7,No,11,5,2,3,1,2,0.78,0,0
229,45,Female,Marketing,Engineer,3,8508,19,5,No,21,1,4,1,1,4,0.25,0,0
230,21,Female,R&D,Engineer,1,13909,6,8,No,4,7,3,2,3,2,0.58,1,0
231,20,Female,HR,Consultant,3,4313,19,0,Yes,25,6,3,2,4,3,0.85,1,0
232,31,Male,Sales,Engineer,2,12323,6,8,Yes,35,6,3,4,1,4,0.79,1,0
233,24,Female,IT,Engineer,3,13475,3,2,No,35,6,3,2,2,4,0.82,0,1
234,56,Male,IT,Consultant,1,5289,4,1,No,35,4,4,2,1,4,0.48,1,1
235,51,Male,HR,Consultant,1,8996,0,7,Yes,39,1,3,3,3,1,0.27,1,0
236,28,Female,HR,Consultant,1,6844,19,9,No,33,7,1,2,4,3,0.06,1,0
237,54,Male,HR,Engineer,4,4198,2,4,No,13,2,2,2,4,3,0.28,0,1
238,38,Female,Finance,Engineer,4,10877,12,0,Yes,4,2,4,2,3,3,0.02,0,0
239,35,Female,HR,Analyst,2,6235,6,0,No,38,1,3,2,2,1,0.33,0,0
240,22,Male,IT,HR Specialist,3,10246,5,1,No,30,1,4,1,3,4,0.95,1,1
241,39,Female,HR,Manager,5,5212,5,6,Yes,27,1,3,4,3,2,0.27,0,0
242,43,Female,Marketing,HR Specialist,2,6169,1,1,Yes,35,5,3,1,3,1,0.93,0,0
243,52,Male,R&D,Sales Executive,5,5206,15,8,No,28,7,1,3,4,2,0.97,1,0
244,43,Male,IT,Sales Executive,5,13147,5,5,Yes,8,2,2,2,3,3,0.1,0,1
245,30,Male,R&D,Consultant,2,12136,7,3,Yes,26,5,3,1,4,2,0.81,0,0
246,27,Male,IT,HR Specialist,3,2641,10,3,Yes,34,2,1,3,3,1,0.95,0,0
247,55,Male,Sales,Engineer,5,6839,17,2,Yes,29,8,3,1,3,1,0.21,1,1
248,57,Male,Marketing,Analyst,4,8169,5,8,Yes,2,0,4,4,1,1,0.39,0,1
249,59,Female,IT,Manager,4,9655,13,1,No,6,6,1,3,3,2,0.84,0,0
250,39,Male,Marketing,Technician,2,2061,14,8,No,16,7,3,4,2,2,0.14,1,0
251,54,Male,IT,Technician,5,3223,10,2,Yes,7,8,3,3,4,1,0.56,1,0
252,44,Female,R&D,Engineer,2,12729,14,3,Yes,11,4,1,2,4,1,0.24,0,0
253,54,Female,R&D,HR Specialist,4,2492,12,8,No,16,5,2,3,1,2,0.77,0,0
254,44,Male,IT,Technician,2,8822,5,2,No,6,4,3,2,3,3,0.62,1,0
255,48,Male,IT,HR Specialist,5,8611,3,5,No,37,9,4,2,1,1,0.62,0,0
256,37,Female,Finance,Analyst,5,3139,13,4,Yes,9,4,3,2,4,2,0.92,0,1
257,37,Male,Marketing,Analyst,4,7490,12,5,No,3,6,1,3,3,1,0.67,0,1
258,21,Male,Marketing,Consultant,1,8794,9,4,No,29,3,3,4,3,4,0.15,0,1
259,54,Female,Marketing,HR Specialist,1,3255,11,2,Yes,8,5,4,3,1,3,0.17,0,0
260,35,Male,Marketing,Consultant,3,4495,7,1,Yes,17,3,4,3,1,3,0.27,1,1
261,55,Female,Sales,Engineer,4,5285,19,9,No,38,1,4,2,2,4,0.04,0,1
262,52,Male,Sales,Consultant,3,4255,4,8,Yes,6,1,4,3,1,4,0.37,0,0
263,23,Female,HR,Engineer,4,11193,1,3,Yes,11,3,2,1,3,4,0.38,0,1
264,52,Female,IT,Engineer,5,3125,19,9,Yes,10,4,3,2,3,3,0.71,0,0
265,33,Female,IT,Technician,4,5881,11,5,No,2,0,2,4,4,2,0.33,0,1
266,40,Male,IT,Manager,2,6105,5,8,No,29,2,3,1,2,3,0.86,1,1
267,39,Female,IT,Manager,3,13736,14,4,No,6,4,3,3,4,4,0.38,1,0
268,27,Male,Marketing,Engineer,4,3146,17,6,No,9,7,3,4,1,1,1.0,0,0
269,26,Female,Marketing,HR Specialist,3,2786,17,4,No,2,3,3,1,4,4,0.48,0,1
270,22,Female,Sales,Analyst,4,12243,9,8,No,4,5,3,4,1,4,0.89,1,0
271,36,Female,R&D,Consultant,1,2258,6,1,Yes,30,3,3,1,2,3,0.22,0,1
272,52,Male,Finance,Sales Executive,3,5849,9,2,No,4,4,3,1,1,4,0.0,1,0
273,31,Male,Marketing,Analyst,5,8430,4,4,No,1,6,3,4,1,1,0.51,0,0
274,41,Female,Marketing,Analyst,5,8174,15,1,No,11,7,2,4,1,1,0.51,1,1
275,41,Male,Marketing,Sales Executive,4,6616,18,5,Yes,7,9,3,2,1,4,0.95,0,1
276,49,Male,R&D,Engineer,5,10180,2,9,Yes,18,9,4,3,3,4,0.2,0,0
277,57,Male,R&D,Analyst,5,2715,6,2,No,8,7,3,2,1,1,0.2,0,0
278,57,Female,Sales,Sales Executive,3,3643,18,4,Yes,30,6,4,4,2,1,0.42,1,1
279,27,Male,Marketing,Consultant,4,2123,11,4,Yes,15,3,3,4,2,1,0.52,0,1
280,46,Female,Finance,Technician,3,3773,9,9,No,10,3,3,3,4,3,0.64,0,0
281,46,Female,IT,HR Specialist,4,11113,4,7,Yes,2,1,2,4,4,2,0.29,0,0
282,53,Female,Marketing,HR Specialist,5,4177,1,8,Yes,15,8,4,2,2,3,0.26,0,1
283,40,Male,Sales,HR Specialist,4,8889,2,3,No,22,5,2,1,1,3,0.84,0,0
284,49,Female,Sales,Engineer,4,3503,13,9,Yes,34,2,3,1,3,2,0.5,0,0
